메뉴,칼로리(Kcal),당류(g),단백질(g),나트륨(mg),포화지방(g),카페인(mg)
나이트로 바닐라 크림,75,10,1,20,2,245
나이트로 콜드 브루,5,0,0,5,0,245
돌체 콜드 브루,265,29,8,115,9,150
바닐라 크림 콜드 브루,125,11,3,58,6,150
제주 비자림 콜드 브루,340,44,10,115,8,105
콜드 브루,5,0,0,11,0,150
콜드 브루 몰트,510,40,10,147.8,20,150
콜드 브루 플로트,230,18,3,69,10,150
아이스 커피,5,0,0,10,0,140
오늘의 커피,5,0,0,10,0,260
에스프레소 콘 파나,30,1,0,0,1.5,75
에스프레소 마키아또,10,0,1,0,0,75
아이스 카페 아메리카노,10,0,1,5,0,150
카페 아메리카노,10,0,1,5,0,150
아이스 카라멜 마키아또,190,21,6,110,4.6,75
카라멜 마키아또,200,22,8,130,5,75
아이스 카푸치노,115,9,6,90,3.5,75
카푸치노,110,8,6,70,3,75
라벤더 카페 브레베,406,30,7,140,22,75
럼 샷 코르타도,70,8,3,45,1.8,75
리저브 바닐라 빈 라떼,220,21,9,150,6,167
리저브 아이스 바닐라 빈 라떼,135,14,5,75,2.9,167
스타벅스 돌체 라떼,255,39,12,190,2.6,150
아이스 라벤더 카페 브레베,335,27,6,110,18,75
아이스 스타벅스 돌체 라떼,230,35,10,145,2.5,150
아이스 제주 샤이닝 바나나 라떼,525,62,9,160,19,150
아이스 카페 라떼,110,8,6,75,3.5,75
제주 샤이닝 바나나 라떼,595,66,12,200,22,150
카페 라떼,180,13,10,115,5,75
아이스 카페 모카,250,21,7,70,8,95
아이스 화이트 초콜릿 모카,260,27,7,75,8,75
카페 모카,290,25,10,105,9,95
화이트 초콜릿 모카,345,35,11,150,11,75
바닐라 플랫 화이트,220,23,9,130,5,260
바닐라 스타벅스 더블 샷,125,14,2,30,4.5,150
블론드 바닐라 더블 샷 마키아또,315,31,8,130,12,170
아이스 블론드 바닐라 더블 샷 마키아또,195,22,5,65,6,170
에스프레소,5,0,0,0,0,75
커피 스타벅스 더블 샷,125,14,3,28.5,5,150
클래식 아포가토,240,18,4,70,10,150
헤이즐넛 스타벅스 더블 샷,125,14,3,28.5,5,150
더블 에스프레소 칩 프라푸치노,265,31,3,140,11,130
모카 프라푸치노,280,36,5,180,6,90
에스프레소 프라푸치노,145,29,2,115,1.1,120
자바 칩 프라푸치노,340,42,6,180,9,100
카라멜 프라푸치노,300,39,4,190,7,85
화이트 초콜릿 모카 프라푸치노,245,38,4,140,6,85
바닐라 크림 프라푸치노,200,28,4,150,6,0
제주 까망 크림 프라푸치노,600,79,9,330,7,0
제주 샤이닝 바나나 크림 프라푸치노,525,83,6,240,14,0
제주 쑥떡 크림 프라푸치노,460,57,8,250,10,0
제주 유기농 말차로 만든 크림 프라푸치노,230,28,5,150,7,60
초콜릿 크림 칩 프라푸치노,300,40,6,160,7,10
화이트 딸기 크림 프라푸치노,360,54,4,170,11,0
화이트 타이거 프라푸치노,410,57,5,220,14,0
딸기 젤리 블렌디드,425,68,4,90,9,0
망고 패션 후르츠 블렌디드,120,25,1,70,0,35
딸기 요거트 블렌디드,290,57,8,110,0.9,0
망고 바나나 블렌디드,270,48,4,110,1,0
자몽 셔벗 블렌디드,225,51,1,15,0,0
피치 & 레몬 블렌디드,190,27,0,45,0,0
블랙 티 레모네이드 피지오,65,17,0,0,0,30
쿨 라임 피지오,105,26,0,20,0,110
패션 탱고 티 레모네이드 피지오,65,17,0,0.2,0,0
핑크 자몽 피지오,185,43,1,20,0,0
딸기 라임 쉐이큰 티,240,58,0,25,0,65
라임 패션 티,140,35,0,25,0,150
민트 블렌드 티,0,0,0,0,0,0
아이스 라임 패션 티,90,22,0,15,0,93
아이스 민트 블렌드 티,0,0,0,0,0,0
아이스 얼 그레이 티,0,0,0,0,0,50
아이스 유스베리 티,0,0,0,0,0,20
아이스 유자 민트 티,145,37,0,5,0,0
아이스 잉글리쉬 브렉퍼스트 티,0,0,0,0,0,40
아이스 제주 유기 녹차,0,0,0,0,0,16
아이스 캐모마일 블렌드 티,0,0,0,0,0,0
아이스 히비스커스 블렌드 티,0,0,0,0,0,0
얼 그레이 티,0,0,0,0,0,70
유스베리 티,0,0,0,0,0,20
유자 민트 티,235,58,0,10,0,0
이그조틱 레몬 티,310,61,1,5,0.5,70
잉글리쉬 브렉퍼스트 티,0,0,0,0,0,70
자몽 허니 블랙 티,125,30,0,5,0,70
제주 유기 녹차,0,0,0,0,0,16
캐모마일 블렌드 티,0,0,0,0,0,0
패션 푸르트 티,275,63,0,15,0.4,0
피치 젤리 티,190,21,0,65,0,70
히비스커스 블렌드 티,0,0,0,0,0,0
아이스 이그조틱 레몬 티,310,61,1,5,0.5,32
아이스 자몽 허니 블랙 티,125,30,0,5,0,30
패션 푸르트 칵테일 티,225,51,0,15,0,0
피치 젤리 아이스 티,120,13,0,40,0,30
돌체 블랙 밀크 티,250,34,8,110,5,60
아이스 돌체 블랙 밀크 티,210,31,6,80,3.7,35
아이스 제주 유기농 말차로 만든 라떼,155,16,6,95,3.6,60
아이스 제주 핑크 뮬리 밀크 티,340,50,8,160,5,13
아이스 차이 티 라떼,190,31,5,70,3,70
아이스 허니 얼 그레이 밀크 티,220,31,4,65,2.4,52
제주 유기농 말차로 만든 라떼,205,20,9,130,5,60
제주 핑크 뮬리 밀크 티,385,56,9,180,6,13
차이 티 라떼,200,31,6,70,3,70
허니 얼 그레이 밀크 티,395,45,12,210,8,70
스타벅스 딸기 라떼,240,44,4,80,2.7,0
시그니처 핫 초콜릿,435,37,12,114,16,15
아이스 시그니처 초콜릿,435,37,12,114,16,15
플러피 판다 핫 초콜릿,480,48,12,160,18,30
라임 플로터 위드 리저브 CB 샷,90,20,1,5,0,60
스팀 우유,215,18,13,173,7,0
아이스 제주 까망 라떼,225,13,8,130,11,0
아이스 제주 별빛 애플 주스,205,45,0,5,0,0
오렌지 플로터 위드 리저브 CB 샷,105,27,0,5,0,60
우유,240,18,12,200,8,0
제주 까망 라떼,225,18,10,170,7,0
제주 별빛 애플 주스,300,67,0,5,0,0
제주 쑥쑥 라떼,425,50,16,210,9,0
기운내라임 190ML,90,22,1,5,0,0
파이팅 청귤 190ML,95,22,1,5,0,0
한방에 쭉 감당 190ML,100,23,1,10,0,0
도와줘 흑흑 190ML,165,9,5,140,3.4,0
딸기주스 190ML,110,25,0,30,0,0
망고주스 190ML,117,23,1,15,0,0
수박주스 190ML,90,18,2,30,0,0
케일&사과주스 190ML,105,26,0,25,0,0
토마토주스 190ML,70,16,1,120,0,0
퍼플베리 굿 190ML,100,24,0,15,0,0
한라봉주스 190ML,78,16,0.5,10,0,0
햇사과 주스 190ML,113,27,0.2,10,0,0
블루베리 요거트 190ML,155,18,5,70,3.6,0
치아씨드 요거트 190ML,145,14,6,70,3.9,0
