메뉴,가격
"매화(치킨, 연어구이)","10,000"
매화 (순살 고등어 간장구이),"10,000"
진달래,"7,000"
개나리(순살 고등어 간장구이),"8,000"
생선까스도련님고기고기,"5,500"
돈까스도련님고기고기,"5,500"
탕수육도련님고기고기,"5,600"
새치 고기고기,"6,000"
돈치 고기고기,"5,200"
고기고기,"4,000"
칠리탕수육 육개장 정식,"8,000"
주말숯불삼겹2종정식,"15,000"
고추장숯불삼겹정식,"9,000"
숯불삼겹정식,"8,500"
제육 김치찌개 정식,"8,000"
콤비네이션 정식,"6,000"
숯불직화구이,"6,500"
소불고기,"5,000"
메가치킨제육,"6,900"
생선까스도련님,"3,900"
칠리 찹쌀탕수육도련님,"4,000"
동백,"5,000"
치킨제육,"4,400"
국화,"4,200"
돈까스도련님,"3,900"
제육볶음,"3,900"
한솥밥,"1,000"
현미밥,"1,700"
메가 스리라차 참치마요,"5,700"
스리라차 참치마요,"3,400"
메가 스리라차 치킨마요,"5,700"
스리라차 치킨마요,"3,400"
메가스팸마요,"5,500"
스팸마요,"3,500"
메가불닭치킨마요,"6,400"
불닭치킨마요,"3,500"
갈비치킨마요,"3,200"
메가치킨마요,"5,200"
왕치킨마요,"4,200"
빅치킨마요,"3,500"
치킨마요,"2,900"
참치마요,"2,900"
돈치마요,"3,500"
치즈 카레도시락,"4,000"
돈까스 카레,"3,900"
3종치즈 김치볶음밥,"4,500"
스팸 김치볶음밥,"4,300"
김치볶음밥,"3,500"
스팸철판볶음밥,"4,500"
소불고기 철판볶음밥,"4,500"
돼지국밥 콤보,"6,700"
돼지국밥,"5,700"
돼지국밥(국만),"4,500"
소고기 육개장,"4,500"
묵은지 김치찌개,"4,300"
고추장숯불삼겹덮밥,"6,500"
숯불직화구이 덮밥,"5,700"
왕카레돈까스덮밥,"5,500"
새우돈까스 덮밥,"3,900"
돈까스 덮밥,"3,600"
소불고기 감초고추장 비빔밥,"4,800"
시골제육 두부강된장 비빔밥,"4,800"
참치야채 감초고추장,"3,200"
튼튼도시락,"5,000"
해피닭가슴살볶음밥,"5,000"
반찬 계란말이,"2,200"
반찬 치즈계란말이,"2,800"
반찬 묵은지김치찌개,"3,900"
반찬 소고기육개장,"4,100"
반찬 카레,"2,400"
반찬 소불고기,"3,900"
반찬 순살 고등어데리야끼,"3,400"
반찬 치킨,"3,200"
반찬 고기고기,"3,200"
반찬 돈까스 도련님,"3,200"
반찬 제육볶음,"3,100"
반찬 돈까스,"2,500"
아이스 애플망고,"1,500"
바삭 군만두,"2,000"
미니 찹쌀핫도그,"2,500"
미니 찹쌀탕수육,"2,000"
감자고로케,"2,000"
케이준후라이,"1,500"
순살치킨 세트(대),"13,000"
순살치킨 세트(중),"7,000"
순살치킨믹스 세트,"14,000"
찹쌀탕수육박스(대),"10,000"
찹쌀탕수육박스(중),"5,000"
오리지널 닭강정(중),"7,500"
오리지널 닭강정(소),"2,800"
치킨 BOX(대) ,"10,000"
치킨BOX(중)_양식소스,"5,000"
치킨BOX(중)_타르타르소스,"5,000"
오징어젓갈,400
오이지무침,700
한솥 두부강된장소스,"1,800"
한솥 감초볶음고추장소스,500
볶음김치,400
김치,300
무말랭이,300
